Product Name,Product ID,   Price (in Euro)   ,Color,Brand,SKU,Sole-Type,Sale Percentage,  Sale Price  ,Season,Size
Trainers CALLAGHAN,Old 45504 Negro,Ä 131.00,Black,Callaghan,208858465,not defined,New, product not in sale ,All year round,"40 , 42 , 43 , 44 , 46"
Trainers CALLAGHAN,Old 45504 Cuero Red,Ä 131.00,Brown,Callaghan,208858458,Flat,-20%,Ä 105.00,All year round,"40 , 41 , 42 , 43 , 44"
Knee High Boots CALLAGHAN,Old 45508 Negro/Red,Ä 147.00,Black,Callaghan,208858441,Flat,New, product not in sale ,Fall/Winter,"42 , 43 , 44 , 45"
Shoes CALLAGHAN,Graso 42505 Azul,Ä 131.00,Black,Callaghan,208858434,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 46"
Trainers TRUSSARDI,77A00383 K299,Ä 171.00,Black,Trussardi,208857246,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00378 White/Black,Ä 128.00,White,Trussardi,208857222,not defined,-22%,Ä 100.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00377 W704,Ä 202.00,White,Trussardi,208857208,not defined,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Trainers TRUSSARDI,77A00377 K303,Ä 202.00,Black,Trussardi,208857192,Flat,New, product not in sale ,All year round,"41 , 42 , 43 , 44 , 45"
Trainers TRUSSARDI,77A00375 K299,Ä 140.00,Black,Trussardi,208857178,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00374 W656,Ä 162.00,White,Trussardi,208857161,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Trainers TRUSSARDI,77A00374 E693,Ä 162.00,Black,Trussardi,208857154,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00373 K308,Ä 150.00,Black,Trussardi,208857147,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00372 K302,Ä 150.00,Black,Trussardi,208857123,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Hiking Boots TRUSSARDI,77A00385 K299,Ä 269.00,Black,Trussardi,208857277,Flat,New, product not in sale ,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TRUSSARDI,77A00383 W001,Ä 171.00,White,Trussardi,208857253,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
